date,usd,eur
2025-06-04,97.4194,110.91588367
2025-06-03,97.3126,110.22403576
2025-05-30,96.8577,109.99935273
2025-05-29,96.5303,109.0821349
2025-05-28,95.8052,108.58273952
2025-05-27,95.2387,108.38640253
2025-05-26,95.084,107.79577996
2025-05-23,95.0189,107.17941882
2025-05-22,94.9652,107.65255072
2025-05-21,94.8556,106.57500938
2025-05-20,94.8024,106.74276228
2025-05-19,94.763,105.63515899
2025-05-16,94.3241,105.52791659
2025-05-15,94.1557,105.58808509
2025-05-14,93.5796,104.50688989
2025-05-13,93.0623,103.47876323
2025-05-12,93.0495,104.80258234
2025-05-09,92.831,104.6483863
2025-05-08,91.9165,104.45482976
2025-05-07,91.2113,103.45276857
2025-05-06,88.7224,100.58724655
2025-05-05,88.6405,100.69915362
2025-05-02,87.5681,99.48261568
2025-04-30,86.8465,99.01282618
2025-04-29,86.6564,98.59851848
2025-04-28,86.1143,97.8439288
2025-04-25,84.4204,96.0070999
2025-04-24,83.4182,94.77058283
2025-04-23,82.3788,94.55521042
2025-04-22,81.7613,94.00178422
2025-04-21,80.9598,92.0917725
2025-04-16,79.7844,90.38216185
2025-04-15,78.5914,89.30419373
2025-04-14,78.3635,88.85558901
2025-04-11,77.2646,86.30610349
2025-04-10,75.8025,83.69657235
2025-04-09,74.2787,81.04623235
2025-04-08,73.3576,80.06908682
2025-04-07,72.1856,79.31970284
2025-04-04,70.5852,78.48086047
2025-04-03,70.2493,76.23313537
2025-04-02,70.0141,75.6460342
2025-04-01,69.776,75.45367312
2025-03-31,69.5664,75.35362881
2025-03-28,69.4387,74.93893942
2025-03-27,69.0188,74.4540305
2025-03-26,68.6994,74.29908809
2025-03-25,68.3936,73.85072534
2025-03-24,68.3116,73.96301866
2025-03-21,67.8583,73.45864549
2025-03-20,67.6344,73.71676159
2025-03-18,66.788,72.91446324
2025-03-17,66.5573,72.39836864
2025-03-14,66.4368,72.15102916
2025-03-13,66.2542,72.30983388
2025-03-12,65.6268,71.6316522
2025-03-11,65.4151,70.87987745
2025-03-10,65.2662,70.91237896
2025-03-07,64.746,70.20667764
2025-03-06,64.6116,69.49494472
2025-03-05,64.4844,67.12181196
2025-02-28,64.2464,66.91134067
2025-02-27,64.2406,67.41665526
2025-02-26,64.0191,67.24502244
2025-02-25,63.4938,66.43229306
2025-02-24,63.4139,66.38484121
2025-02-21,63.2065,66.06659412
2025-02-20,62.5107,65.21491288
2025-02-19,62.1834,64.99222417
2025-02-18,62.0999,65.09125218
2025-02-17,62.0708,65.2053754
2025-02-14,61.8227,64.31106367
2025-02-13,61.3462,63.44853427
2025-02-12,61.0278,63.0472099
2025-02-11,60.5428,62.43234078
2025-02-10,60.5211,62.80395589
2025-02-07,60.1417,62.39039816
2025-02-06,59.4605,62.00838242
2025-02-05,58.7938,60.99915543
2025-02-04,58.5404,60.05015691
2025-02-03,58.4437,60.62949438
2025-01-31,57.9666,60.50032008
2025-01-30,57.3929,59.74830461
2025-01-29,57.2974,59.79556664
2025-01-28,56.8562,59.66887621
2025-01-27,56.6522,59.34091341
2025-01-24,56.283,58.58947734
2025-01-23,55.7611,58.09972053
2025-01-22,55.2999,57.44719511
2025-01-21,54.9852,57.31547277
2025-01-20,54.9113,56.59048755
2025-01-17,54.76,56.2801376
2025-01-16,54.3694,56.10704602
2025-01-15,53.9642,55.42716946
